Year	Month	YearDecimal	IntegE1	IntegE2
2008	Jan	2008	20.70 	12.60 
	Feb	2008.083333	1.95 	10.95 
	Mar	2008.166667	27.00 	3.45 
	Apr	2008.25	41.25 	23.85 
	May	2008.333333	5.70 	-11.10 
	Jun	2008.416667	-0.30 	23.10 
	Jul	2008.5	5.10 	4.95 
	Ago	2008.583333	0.00 	9.60 
	Sep	2008.666667	0.00 	17.55 
	Oct	2008.75	9.30 	38.25 
	Nov	2008.833333	28.80 	26.25 
	Dec	2008.916667	7.65 	17.85 
2009	Jan	2009	7.95 	35.55 
	Feb	2009.083333	59.55 	46.20 
	Mar	2009.166667	55.80 	33.00 
	Apr	2009.25	8.85 	-32.85 
	May	2009.333333	3.30 	3.15 
	Jun	2009.416667	27.30 	-2.70 
	Jul	2009.5	36.45 	
	Ago	2009.583333	10.20 	
	Sep	2009.666667	1.65 	
	Oct	2009.75	4.20 	-10.50 
	Nov	2009.833333	-15.90 	15.90 
	Dec	2010.083333	11.55 	16.50 
2010	15-Jan-10	2010.041096	75.94	42.42
	18-Jan-10	2010.049315	133.74	121.68
	25-Jan-10	2010.068493	155.02	344.8
	31-Jan-10	2010.084932	255.88	17.02125
	03-Feb-10	2010.093151	5.4735	73.19
	11-Feb-10	2010.115068	42.987	37.5135
	18-Feb-10	2010.131507	5.38	21.093
	11-Mar-10	2010.191781	10.353625	267.98
	15-Mar-10	2010.20274	173.32	150.39
	09-Apr-10	2010.271233	9.25675	190.9
	20-Apr-10	2010.30137	54.58	162.16
	14-May-10	2010.367123	56.56	15.18
	06-Jun-10	2010.432877	3.3375	
	05-Jul-10	2010.509589	175.74	320.68
	22-Aug-10	2010.641096	69.7225	2.0025
	01-Sep-10	2010.668493	170.42	36.045
	17-Sep-10	2010.712329	9.01125	
	20-Oct-10	2010.80274	161.38	18.0225
	29-Oct-10	2010.827397	145.19	12
	13-Nov-10	2010.868493	18.2875	155.08
	18-Nov-10	2010.882192	19.3575	20.54
	29-Nov-10	2010.912329	184.61	184.5
	04-Dec-10	2010.926027	3.3375	74.24
	10-Dec-10	2010.942466	236.37	6.29475
	22 dec 2010	2010.975342	233.85	59.55
	26-Dec-10	2010.986301	10.179	101.24
2011	04-Jan-11	2011.010959	87.58	35.405
	10-Jan-11	2011.027397	19.29	97.59
	21-Jan-11	2011.057534	154.99	38.257
	25-Jan-11	2011.068493	120.01	14.301125
	31-Jan-11	2011.084932	38.518875	20.08
	08-Feb-11	2011.106849	8.604	12.06975
	20-Feb-11	2011.139726	135.98	119.29
	26-Feb-11	2011.153425	51.73125	24.6975
	03-May-11	2011.169863	31.48	84.601
	18/3/2011	2011.210959	78.28275	101.021
	28/3/2011	2011.238356	79.54	20.185375
	06-Apr-11	2011.263014	10.651875	168.5
	05-May-11	2011.342466	3.065875	357.29
	08-Jul-11	2011.517808	49.12	
	10-Aug-11	2011.608219	1.335	
	22/8/2011	2011.638356	37.52	
	14/9/2011	2011.70411	1.29575	
	29/9/2011	2011.731507	321.95	
	05-Oct-11	2011.761644	10.68	
	26/10/2011	2011.819178	9.913625	
	15/11/2011	2011.873973	29.03625	147.44
	22/11/2011	2011.893151	112.83	67.64
2012	Enero 2012 (27-01-12)	2012.073973	0	344.07
	Febrero 2012 (02-03-12)	2012.093151	225.25	59.74125
	30 de marzo de 2012	2012.243836	675.43	466.4
	Abril 27, 2012	2012.320548	270.23	501.41
	Mayo 23, 2012	2012.391781	86.85	11.85
	Oct, 29 2012	2012.827397	12.4875	12.675
	Nov, 14, 2012	2012.871233	8.510625	71.29
	Decemb 4, 2012	2012.926027	278.24	49.72875
	Decemb 27, 2012	2012.989041	162.01	76.85
2013	January 31, 2013	2013.084932	80.600625	107.13375
	February 14, 2013	2013.120548	23.77	69.42
	March 7, 2013	2013.180822	30.79	11.51
	April 4, 2013	2013.257534	72.73	19.18
	May 11, 2013	2013.358904	85.29	49.82
	June 11, 2013	2013.443836	314.25	52.17
	July 8, 2013	2013.517808	8.445	178.02
	November 11, 2013	2013.863014	378.24	20.90383348
	December 7, 2013	2013.934247	33.70875	26.91665778
2014	January 3, 2014	2014.008219	249.2	53.06625
	08-Jan-14	2014.021918	56.71	46.00782988
	15-Jan-14	2014.041096	0	31.12
	21-Jan-14	2014.057534	1004.28	987.7
	March 13, 2014	2014.19726	57.03	290.48
	April 4, 2014	2014.257534	79.82	47.53014643
	May 31, 2014	2014.413699	27.21	48.18
	June 27, 2014	2014.487671	232.24	8.6775
	July 19, 2014	2014.547945	8.01	8.075602925
	October 14. 2014	2014.786301	35.28	4.505625
	November 13, 2014	2014.868493	8.01	1.501875
	December 5, 2014	2014.928767	43.19	15.01
2015	22-Apr-15	2015.306849	4.171875	6.34125
	25-Jun-15	2015.482192	252.9	48.12348477
	22-Aug-15	2015.641096	17.68875	52.37
	 01/10/2015	2015.750685	53.77	19.49
	11-Jul-15	2015.526027	114.35	41.88
	12-Sep-15	2015.69863	100.15	191.34
	12/22/2015	2015.865753	178.68	145.96
2016	05-Jan-16	2016.013699	207.13	167.76
	27-Jan-16	2016.073973	197.6	43.43
	13-Feb-16	2016.117808	5.44	200.32
	27-Feb-16	2016.235616	232.82	99.17
	15-Mar-16	2016.20274	364.9	252.35
